come, 訪れる / 来る,動詞
get, 受け取る / 手に入れる,動詞
give, あたえる,動詞
go, 行く,動詞
keep,  保つ / 保存する,動詞
let, させる/ 許す,動詞
make, 作る,動詞
put, 置く,動詞
seem, 見える / 思える,動詞
take, 取る / つかむ,動詞
be, ある / 存在する,動詞
do, する / 振るまう,動詞
have, 持っている / 身につけている,動詞
say, 言う / 話す / 命ずる,動詞
see, 見る / 見える / 知っている,動詞
send, 送る,動詞
may, してもいい / かもしれない,助動詞
will, するつもりだ / しようと思う,助動詞
all, すべて,副詞
any, なんらか / いくらか / 少しは,副詞
every, あらゆる,形容詞
no, いいえ / なにも,形容詞 / 副詞
other, ほかの,形容詞
some, いくつかの,形容詞
such, こんな / これほど / しばしば,副詞
and,  〇〇と,接続詞
because, なぜなら,接続詞
but, しかし,接続詞
or, または,接続詞
if, もしも,接続詞
though, だが / そうはいうものの,接続詞
while, 期間 / 時間,疑問詞
how, 方法,疑問詞
when, 時期,疑問詞
where, 場所,疑問詞
why, 理由,疑問詞
again, さらに / またまた,副詞
ever, つねに / いつも,副詞
far, はるかに / 遠くへ,副詞
forward, 前に / 前方へ / お先に,前置詞
here, ここに,副詞
near, ほぼ / ほとんど,副詞
now, 今 / 今では,副詞
till,  〇〇まで,前置詞
than,  〇〇よりも,接続詞
then, それから / 続いて / その次に,副詞
there, そこに / あそこで,副詞
together, 同時に / ともに,副詞
well, よく,副詞
almost, ほぼ / ほとんど,副詞
enough, 十分 / たくさん,副詞
little, わずか,副詞
much, ほぼ,副詞
only, ただひとり / ただひとつ,副詞
quite, すっかり / 全く,副詞
so, 現に / それは,副詞
very, とても / いとも / いっそう,副詞
tomorrow, あす / あした,名詞
yesterday, 昨日,名詞
please, 喜ばせる / 楽します,動詞
yes, 肯定的な返答,名詞
account, 説明,名詞
act, 行動する / 立ち振る舞う,動詞
addition, 付け足し,名詞
adjustment, 手直し / 修正 / 変更,名詞
advertisement, アド / 広告,名詞
agreement, 協定 / 一致,名詞
air, 空気 / 飛行,名詞
amount, 量 / 計測した大きさ,名詞
amusement, 楽しみ / エンターテインメント,名詞
animal, 動物,名詞
answer, 答える / 解答,動詞
approval, 賛成 / 承認,名詞
argument, 議論 / 主張,名詞
art, 芸術 / 工芸,名詞
attack, 攻める / 取り掛かる,動詞
attempt, 試みる / 企てる,動詞
attention, 注意 / 世話,名詞
attraction, 魅力 / 引力,名詞
authority, 権威 / 認可,名詞
back, 以前に / 昔に,副詞
balance, バランスをとる / つりあいを取る,動詞
base, 基礎づける / 基づく,動詞
behaviour, 行儀 / 行ない / 振る舞い,名詞
belief, 印象 / 感じ / 気分,名詞
birth, 生みだす / 産む,動詞
bit, かけら,名詞
bite, かみつく,動詞
blood, 血液 / 気質,名詞
blow, 吹く / 噴く,動詞
body, 本体 / 身体,名詞
breath, 呼吸 / 息,名詞
brother, 兄 / 弟 / 兄弟,名詞
building, 建設 / 構築,名詞
burn, 燃す / 焦がす,動詞
burst, 爆発 / 破裂,名詞
business, シゴト / 事業,名詞
care, 整備 / メンテナンス / 世話,名詞
cause, 原因 / 根拠,名詞
chance, 賭け / チャンス / 機会,名詞
change, 変質 / 変化,名詞
cloth, 生地 / 布地,名詞
color, 色合い / 個性,名詞
comfort, 快適 / なぐさめ,名詞
committee, コミッティ / 委員会,名詞
company, 付添い / 会社,名詞
comparison, 比較,名詞
competition, 競争 / 競技,名詞
condition, 条件 / 状態,名詞
connection, 結びつき / 関係,名詞
control, 制御する / 取り締まる,動詞
cook, 炊事する / 料理する,動詞
copper, 銅 / 銅製 / 銅色,名詞
copy, コピー / 再現 / 複製,動詞
cotton, 綿 / コットン,名詞
cough, せき,名詞
country, 国家 / 国民 / いなか,名詞
cover, おおう / かぶせる,動詞
crack, ひびわれる,動詞
credit, 信用 / 業績,名詞
crime, 犯罪,名詞
crush, 壊れる / つぶれる,動詞
cry, めそめそする / 泣く,動詞
damage, そこなう / 傷める,動詞
danger, リスク / 危険,名詞
daughter, 娘 / 令嬢,名詞
day, 昼間 / 日 / 機会,名詞
death, 絶命 / 死亡,名詞
decision, 判断 / 結論,名詞
degree, レベル / 学位 / 角度,名詞
design, 計画 / 設計 / デザイン,動詞
desire, 欲しがる / 希望 / 願望,動詞
destruction, 撃滅 / 破壊,名詞
development, 発展 / 開発,名詞
direction, 舵取り / 指示 / ガイド,名詞
discovery, 発見,名詞
discussion, 話し合い / ディスカッション,名詞
disease, 不快な状態 / 病気,名詞
disgust, 吐き気を催させる / 胸を悪くさせる,動詞
distribution, 配布 / 流通,名詞
division, 分割 / 分裂,名詞
doubt, 怪しむ / 疑う,動詞
drink, 飲む,動詞
driving, 運転,名詞
earth, 地球 / 大地,名詞
edge, 刃 / 境界,動詞
education, 教育 / エデュケーション,名詞
effect, 結果 / 影響,名詞
end, 終える / 打ち切る,動詞
error, 間違い / 誤り / エラー,名詞
event, できごと / イベント,名詞
example, 見本 / 例題,名詞
exchange, 取り替える / 交換する,動詞
existence, 存在 / 生存,名詞
expansion, 引き伸ばし / 拡大,名詞
experience, 経験 / 体験,動詞
expert, 専門家 / 熟練者,形容詞
fact, 事実 / できごと,名詞
family, 家族 / 一族,名詞
father, 父親,名詞
fear, 恐怖 / 恐れ,動詞
feeling, 感じ / 気持,名詞
fiction, 作り話,名詞
field, 野原 / 畑 / 一面の広がり,名詞
fight, ファイト / 戦い,名詞
flame, 火炎,名詞
flight, 飛行/ 脱出,名詞
flower, 花を咲かす,動詞
fold, 折りたたむ / 巻きつける,動詞
food, 食べ物 / 栄養物,名詞
force, 勢い / 力,名詞
form, 形姿 / 外形 / 形,名詞
friend, 友達,名詞
front, 正面 / 前面,名詞
fruit, くだもの,名詞
glass, ガラス / グラス,名詞
gold, 黄金 / ゴールド,名詞
government, 統治すること / 支配 / 政府,名詞
grain, 穀物 / ひと粒,名詞
grass, 芝生 / 牧草,名詞
group, 集まり / 集り / グループ,名詞
growth, 成長 / 生育,名詞
guide, 案内する / 手引きする,動詞
harbor, 港 / 避難所,名詞
harmony, 調和 / ハーモニー,名詞
hate, うらむ / 憎む,動詞
hearing, 聞くこと / 聴覚,名詞
heat, 暖める / 熱する,動詞
help, 助ける / 役立つ,動詞
history, 歴史 / 記録,名詞
hole, 穴 / くぼみ / 欠点,名詞
hope, 実現させたいと願う,動詞
hour, 時間 / 60分,名詞
humor, ユーモア / おかしさ / 気持ち,名詞
idea, 着想 / アタマに浮かんだ考え / 意見,名詞
impulse, 衝動 / 刺激 / 推進力,名詞
increase, 増やす / 増益 / 増加,動詞
industry, 産業 / 工業,名詞
ink, インク,名詞
insect, 虫 / 昆虫,名詞
instrument, 器具 / 道具 / 工具 / 楽器,名詞
insurance, 保険 / 備え,名詞
interest, 気晴らし / 興味 / 関心事,名詞
invention, 考案 / 発明,名詞
iron, 鉄 / アイロン,名詞
jelly, ゼリー化する,動詞
join, 交わる / 連結,動詞
journey, 旅行 / 旅路,名詞
judge, 判断する / 評価する,動詞
jump, 跳躍する / ジャンプ,名詞
kick, 蹴り / キック ,名詞
kiss, くちづけ,名詞
knowledge, 知識 / 認識 / 認知,名詞
land, 土地 / 地面,名詞
language, 言語,名詞
laugh, 笑う / 笑む,動詞
law, 法律,名詞
lead, 導く / 誘導,動詞
learning, 修得 / 学習,名詞
letter, 便り / 手紙,名詞
level, 水平になる / 水平飛行に移る,動詞
lift, 持ち上げる,動詞
light, 明るい / 明らか,形容詞
limit, 制約 / 押さえる,動詞
liquid, 液体,名詞
list, 挙げる / 列挙する,動詞
look, 見える / みえる,動詞
loss, 敗北,名詞
love, 愛情,名詞
machine, 機械 / マシン,名詞
man, 人間 / 男性,名詞
manager, 管理職 / 経営者,名詞
mark, 目印 / 目標,名詞
market, 市場,動詞
mass, 大きな塊 / 集団,形容詞
meal, 食事,名詞
measure, 計測する / 基準に照らして判断する,名詞
meat, 肉 / 中身,名詞
meeting, 集まり / 集合,名詞
memory, 記憶 / 記憶力,名詞
metal, メタリック / 金属的,形容詞
middle, 中位,形容詞
milk, 牛乳,名詞
mind, 気持ち / 心 / 精神,名詞
mine, 私の,形容詞
minute, 分 / 1分,形容詞
mist, 霧 / かすみ,名詞
money, 硬貨 / お金,名詞
month, 月,名詞
morning, 朝,名詞
mother, 母親,名詞
motion, 動き / 移動,名詞
mountain, 山 / 山岳,名詞
move, 動く,動詞
music, ミュージック / 音楽,名詞
name, 名前,名詞
nation, 国家 / 国民,名詞
need, 動機 / 必要性,名詞
news, ニュース / 報道,名詞
night, 夜,名詞
noise, 騒ぐ ,動詞
observation, 観測 / 観察 ,名詞
offer, 提供する / 提案する,動詞
operation, 運転 / 運用,名詞
opinion, 意見 / 持論,名詞
order, 配列 / 順序,動詞
organization, 設立 / 組織,名詞
ornament, 装飾 / 飾り,動詞
owner, 持主,名詞
page, ページ,名詞
pain, 痛み,名詞
paint, 色つけ / 塗装,名詞
paper, 紙,名詞
part, ある程度 / 一部分は,副詞
paste, 貼りつける,動詞
payment, 入金 / 払出 ,名詞
peace, 和平 / 安らぎ ,名詞
person, 個人 / 人間,名詞
place, 場所 / 地位,名詞
plant, 植物 / 草木,名詞
play, 遊ぶ / 試合する / 演奏する,動詞
pleasure, 喜び / 快楽,名詞
point, 点 / 地点 / 得点 / 先端,名詞
poison, 毒,動詞
polish, 磨る / 研ぐ,動詞
porter, 運搬人 / 門番,名詞
position, 場所 / 立場,名詞
powder, 粉 / 粉末,名詞
power, 力 / 権力 / 原動力,名詞
price, 価格 / 代償,名詞
print, 印刷 / 発行,名詞
process, 過程 / プロセス,名詞
produce, 生産する / 創作する,動詞
profit, 得する / 儲ける,動詞
property, 所有物 / 不動産 / 特性,名詞
prose, 散文,名詞
protest, 断言する / 主張する / 抗議する ,動詞
pull, 引っぱる ,動詞
punishment, 処罰 / 制裁 ,名詞
purpose, 目的 / 用途,動詞
push, 押す ,動詞
question, 問いただす /たずねる,動詞
rain, 雨が降る,動詞
rate, 割合 / 速度,名詞
ray, 光線,名詞
reaction, 反応 / 手応え,名詞
reading, 読み取り,名詞
reason, 推論 / 理由,名詞
record, レコード / 記録 / 成績,名詞
regret, 惜しむ / 悔やむ,動詞
relation, 結付き / 関係,名詞
religion, 信仰 / 信条,名詞
representative, 代表する,動詞
request, 要求 / 頼む,名詞
respect, 尊敬 / 評価,名詞
rest, 休む / 休息する,動詞
rhythm, リズム / 拍子,名詞
rice, おコメ,名詞
river, 川 ,名詞
road, 道筋 / 道路,名詞
roll, 転がる / 転がす,動詞
room, 部屋,動詞
rub, こする / 摩擦する,動詞
rule, ルール / 規則,名詞
run, 走る,動詞
salt, 塩,名詞
sand, 砂,名詞
scale, 目盛り / ものさし / 段階,名詞
science, 科学,名詞
sea, 海,名詞
seat, 着席させる,動詞
secretary, 事務官 / 秘書 / 書記,名詞
selection, 選択 / より抜き,名詞
self, 自分 / 自身,名詞
sense, 感覚 / 気持ち,名詞
servant, 使用人,名詞
sex, 性別,名詞
shade, 影 / 傘 / 濃淡,名詞
shake, 振る / ゆり動かす,動詞
shame, 恥 / 恥ずかしさ,名詞
shock, ショック / 衝撃,名詞
side, 片面 / 片側,名詞
sign, 記号 / 合図 / 標識 / 看板,名詞
