still, 静かな / 静止した,形容詞 ,まだ / 今までどおり ,副詞
current, 流れ / 水流 / 電流,名詞 ,現在の / 流行の ,形容詞
curve, 曲がる,動詞 ,カーブ / 曲線 ,名詞
detail, 詳しく述べる,動詞 ,詳細 ,名詞
distance, 引き離す,動詞 ,距離 ,名詞
dust, 散らかす,動詞 ,ゴミ ,名詞
fall, 落ちる,動詞 ,落下 ,名詞
fire, 焼く,動詞 ,炎 ,名詞
grip, 取っ手 / 握ること,名詞 ,握る / つかむ ,動詞
ice, 氷,名詞 ,凍らせる / 氷で冷やす ,動詞
note, 記録 / 通達,名詞 ,書き留める/ 注意する ,動詞
number, 数 / 人数 / 個数,名詞 ,数に達する ,動詞
oil, オイル / 油,名詞 ,油を差す ,動詞
quality, 品質 ,名詞 ,上質の ,形容詞
range, 範囲,名詞 ,並べる / 整列させる,動詞
reward, 報いる,動詞 ,報酬 ,名詞
sleep, 眠る,動詞 ,睡眠 ,名詞
slope,傾ける,動詞 ,傾き,名詞
smell, においがする / においをかぐ,動詞 ,におい ,名詞
smile, ほほ笑む,動詞 ,ほほえみ ,名詞
smoke, 煙を出す / タバコを吸う,動詞 ,けむり ,名詞
sneeze, くしゃみをする,動詞 ,くしゃみ ,名詞
snow, 雪が降る,動詞 ,雪 ,名詞
sound, 鳴る / 響く,動詞 ,音 / 声 / 騒ぎ ,名詞
waste, 浪費する / 無駄にする,動詞 ,廃棄物 ,名詞
garden, 庭いじりをする,動詞 ,庭 ,名詞
hat, 帽子,名詞 ,帽子をかぶる ,動詞
knot, 結ぶ,動詞 ,結び目 ,名詞
pump, 注入する / 吸い出す,動詞 ,ポンプ / 空気入れ ,名詞
ring, 鳴り響く / 電話をかける,動詞 ,輪 / リング ,名詞
sock, ぶん殴る,動詞 ,くつした ,名詞
acid, すっぱい / 酸味がある,形容詞 ,酸味 / 酸 ,名詞
early, 早い,形容詞 ,早目に,副詞
like, 同じような,形容詞 ,好む,動詞
material, 実質的 / 物質的,形容詞 ,物質 / 材料,名詞
north, 北,名詞,北に ,副詞
south, 南,名詞,南に ,副詞
east, 東,名詞,東に  ,副詞
west, 西,名詞,西に ,副詞
